letter,consonant,vowel,group
ሀ,h,a,
ሁ,h,u,
ሂ,h,i,
ሃ,h,ā,
ሄ,h,e,
ህ,h,ə ,
ሆ,h,o,
ሇ,h,wā,
,h,ya,
ለ,l,a,
ሉ,l,u,
ሊ,l,i,
ላ,l,ā,
ሌ,l,e,
ል,l,ə ,
ሎ,l,o,
ሏ,l,wā,
,l,ya,
ሐ,ḥ,a,
ሑ,ḥ,u,
ሒ,ḥ,i,
ሓ,ḥ,ā,
ሔ,ḥ,e,
ሕ,ḥ,ə ,
ሖ,ḥ,o,
ሗ,ḥ,wā,
,ḥ,ya,
መ,m,a,
ሙ,m,u,
ሚ,m,i,
ማ,m,ā,
ሜ,m,e,
ም,m,ə ,
ሞ,m,o,
ሟ,m,wā,
ፙ,m,ya,
ሠ,ś,a,
ሡ,ś,u,
ሢ,ś,i,
ሣ,ś,ā,
ሤ,ś,e,
ሥ,ś,ə ,
ሦ,ś,o,
ሧ,ś,wā,
,ś,ya,
ረ,r,a,
ሩ,r,u,
ሪ,r,i,
ራ,r,ā,
ሬ,r,e,
ር,r,ə ,
ሮ,r,o,
ሯ,r,wā,
ፘ,r,ya,
ሰ,s,a,
ሱ,s,u,
ሲ,s,i,
ሳ,s,ā,
ሴ,s,e,
ስ,s,ə ,
ሶ,s,o,
ሷ,s,wā,
,s,ya,
ሸ,š,a,
ሹ,š,u,
ሺ,š,i,
ሻ,š,ā,
ሼ,š,e,
ሽ,š,ə ,
ሾ,š,o,
ሿ,š,wā,
,š,ya,
ቀ,q,a,
ቁ,q,u,
ቂ,q,i,
ቃ,q,ā,
ቄ,q,e,
ቅ,q,ə ,
ቆ,q,o,
ቇ,q,wā,
,q,ya,
ቈ,qw,a,
,qw,u,
ቊ,qw,i,
ቋ,qw,ā,
ቌ,qw,e,
ቍ,qw,ə ,
,qw,o,
,qw,wā,
,qw,ya,
ቐ,x̣,a,
ቑ,x̣,u,
ቒ,x̣,i,
ቓ,x̣,ā,
ቔ,x̣,e,
ቅ,x̣,ə ,
ቖ,x̣,o,
,x̣,wā,
,x̣,ya,
ቘ,x̣w,a,
,x̣w,u,
ቝ,x̣w,i,
ቛ,x̣w,ā,
ቜ,x̣w,e,
ቚ,x̣w,ə ,
,x̣w,o,
,x̣w,wā,
,x̣w,ya,
በ,b,a,
ቡ,b,u,
ቢ,b,i,
ባ,b,ā,
ቤ,b,e,
ብ,b,ə ,
ቦ,b,o,
ቧ,b,wā,
,b,ya,
ቨ,v,a,
ቩ,v,u,
ቪ,v,i,
ቫ,v,ā,
ቬ,v,e,
ቭ,v,ə ,
ቮ,v,o,
ቯ,v,wā,
,v,ya,
ተ,t,a,
ቱ,t,u,
ቲ,t,i,
ታ,t,ā,
ቴ,t,e,
ት,t,ə ,
ቶ,t,o,
ቷ,t,wā,
,t,ya,
ቸ,č,a,
ቹ,č,u,
ቺ,č,i,
ቻ,č,ā,
ቼ,č,e,
ች,č,ə ,
ቾ,č,o,
ቿ,č,wā,
,č,ya,
ኀ,x,a,
ኁ,x,u,
ኂ,x,i,
ኃ,x,ā,
ኄ,x,e,
ኅ,x,ə ,
ኆ,x,o,
ኇ,x,wā,
,x,ya,
ኈ,ḫ,a,
,ḫ,u,
ኊ,ḫ,i,
ኋ,ḫ,ā,
ኌ,ḫ,e,
ኍ,ḫ,ə ,
,ḫ,o,
,ḫ,wā,
,ḫ,ya,
ነ,n,a,
ኑ,n,u,
ኒ,n,i,
ና,n,ā,
ኔ,n,e,
ን,n,ə ,
ኖ,n,o,
ኗ,n,wā,
,n,ya,
ኘ,ñ,a,
ኙ,ñ,u,
ኚ,ñ,i,
ኛ,ñ,ā,
